"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159616",0013500500564172,"Discovered","fdc5:31e4:14e:1a:213:5005:56:4172",-37.8189572,9551552,,"Street Light","","COLLINS STREET JEMENA LAB",0,243,947,0
"0000000012159368",0013500500564D3C,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4d3c",-37.7948699894,144.9332923221,19/JUL/18 02:34:50.551073000 AM,"Street Light","A026917","51 ALBERMARLE STREET",,,,
"0000000012159526",0013500500563488,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3488",-37.7957328074,144.9334113343,19/JUL/18 02:34:50.553365000 AM,"Street Light","A026926","22 ALBERMARLE STREET",,,,
"0000000012159528",001350050056305E,"Discovered","fdc5:31e4:14e:2d:213:5005:56:305e",-37.7965717199,144.9332516628,19/JUL/18 02:34:50.554852000 AM,"Street Light","A028308","2 ALBERMARLE STREET",,,,
"0000000012159423",0013500500561BD2,"Discovered","fdc5:31e4:14e:54:213:5005:56:1bd2",-37.7967407583,144.9253756044,19/JUL/18 02:34:50.556207000 AM,"Street Light","A116223","84 ALTONA STREET",,,,
"0000000012159395",0013500500564E3A,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e3a",37.7979165337,144.926468381,19/JUL/18 02:34:50.558116000 AM,"Street Light","A116220","50 ALTONA STREET",,,,
"0000000012159387",0013500500564D46,"Discovered","fdc5:31e4:14e:54:213:5005:56:4d46",-37.7970891644,144.9256981104,19/JUL/18 02:34:50.559535000 AM,"Street Light","A116224","78 ALTONA STREET",,,,
"0000000012159417",0013500500564E4C,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e4c",-37.797621669,144.926191456,19/JUL/18 02:34:50.561000000 AM,"Street Light","A067893","60 ALTONA STREET",,,,
"0000000012159422",0013500500564E2D,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e2d",-37.7964009094,144.9250611069,19/JUL/18 02:34:50.562447000 AM,"Street Light","A116222","104 ALTONA STREET",,,,
"0000000012159511",0013500500562886,"Discovered","fdc5:31e4:14e:96:213:5005:56:2886",-37.7897002259,144.9281763871,19/JUL/18 02:34:50.589959000 AM,"Street Light","A036141","18 ANTHONY STREET",,,,
"0000000012159504",0013500500563060,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3060",-37.7991768354,144.9339081306,19/JUL/18 02:34:50.591388000 AM,"Street Light","A133930","329 ARDEN STREET",,,,
"0000000012159531",0013500500563487,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3487",-37.7991329713,144.9342695433,19/JUL/18 02:34:50.592702000 AM,"Street Light","A026968","350 ARDEN STREET",,,,
"0000000012159494",00135005005628B9,"Discovered","fdc5:31e4:14e:2d:213:5005:56:28b9",-37.7990624556,144.9336095599,19/JUL/18 02:34:50.606495000 AM,"Street Light","A030860","329 ARDEN STREET",,,,
